id,city,ward,language,category,priority,complaint_text,translated_english,timestamp,status
SYN-DEL-1042,Delhi,Ward 42 (Karol Bagh),Hindi,Garbage/Sanitation,Medium,हमारे इलाके में मुख्य बाजार के पास पिछले चार दिनों से नगर निगम की कचरा गाड़ी नहीं आई है। सामुदायिक कूड़ेदान पूरी तरह भर चुका है और बदबू आ रही है।,Municipal garbage truck has not arrived for 4 days near the main market. Community dustbin is completely overflowing with strong stench.,2026-09-08 10:15,In Progress
SYN-DEL-1043,Delhi,Ward 42 (Karol Bagh),Hinglish,Garbage/Sanitation,High,"Karol Bagh market road pe kachra faila hua hai, cows aur stray dogs spread kar rahe hain. Market association request kar rahi hai immediate cleaning ke liye.","Garbage is scattered all over Karol Bagh market road, strays spreading waste. Market association requests immediate cleaning.",2026-09-09 14:20,Pending
SYN-DEL-1044,Delhi,Ward 42 (Karol Bagh),English,Garbage/Sanitation,Medium,Sanitation workers have not cleared the dhalao (waste depot) near Block 7 for 3 days. Overflow is spilling onto the pedestrian walkway.,Sanitation workers have not cleared the waste depot near Block 7 for 3 days. Overflow spilling onto walkway.,2026-09-10 09:05,Pending
SYN-DEL-1045,Delhi,Ward 42 (Karol Bagh),Hindi,Garbage/Sanitation,High,"मार्केट के प्रवेश द्वार पर कूड़े का ढेर लग गया है, नालियां जाम हो रही हैं और बारिश के कारण गंदा पानी सड़क पर भर रहा है।","Garbage pile accumulated at market entrance, drains getting blocked and dirty water logging on the road due to rain.",2026-09-11 08:30,Pending
SYN-MUM-2098,Mumbai,Ward K/West (Andheri),Hinglish,Streetlights,Medium,Station road ke corner pe do street lights pichle ek hafte se completely band padi hain. Raat 8 baje ke baad poora stretch dark ho jata hai.,Two streetlights on station road corner have been out for a week. Entire stretch becomes dark after 8 PM.,2026-09-07 19:40,In Progress
SYN-MUM-2099,Mumbai,Ward K/West (Andheri),English,Streetlights,High,Complete blackout on Andheri West station road approach from SV Road junction. Over five sodium fixtures non-functional causing severe commuter safety hazard.,Complete blackout on Andheri West station approach road. Over 5 fixtures non-functional causing severe safety hazard.,2026-09-08 21:15,Pending
SYN-MUM-2100,Mumbai,Ward K/West (Andheri),Marathi,Streetlights,Medium,अंधेरी स्टेशन रस्त्यावरील पथदिवे अनेक दिवसांपासून बंद आहेत. महिलांना रात्री प्रवास करताना असुरक्षित वाटत आहे. दुरुस्ती त्वरित करावी.,Streetlights on Andheri station road non-operational for several days. Women feel unsafe commuting at night. Repair urgently.,2026-09-09 20:50,Pending
SYN-BLR-3150,Bengaluru,Ward 150 (Bellandur),English,Water Supply,High,"Tap water supplied this morning to residential blocks in 4th Cross is heavily turbid, muddy brown, and emits a strong foul sewage odor. Suspected sewer line cross-contamination.",Tap water supplied to residential blocks in 4th Cross is muddy brown with sewage odor. Suspected sewer cross-contamination.,2026-09-09 07:30,Pending
SYN-BLR-3151,Bengaluru,Ward 150 (Bellandur),Kannada,Water Supply,High,ಬೆಳ್ಳಂದೂರು 4ನೇ ಕ್ರಾಸ್‌ನಲ್ಲಿ ನಲ್ಲಿಯ ನೀರು ಕಲುಷಿತವಾಗಿದ್ದು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ. ಕುಡಿಯಲು ಯೋಗ್ಯವಾಗಿಲ್ಲ. ಮಕ್ಕಳಿಗೆ ವಾಂತಿ ಭೇದಿ ಆರಂಭವಾಗಿದೆ.,Tap water in Bellandur 4th cross is contaminated and smells foul. Not fit for drinking. Children developing sickness.,2026-09-10 08:15,Pending
SYN-BLR-3152,Bengaluru,Ward 150 (Bellandur),Hinglish,Water Supply,High,Bellandur 4th Cross apartment complex me BWSSB supply water totally black/brown aa raha hai sewage mix lag raha hai. Kindly test water quality immediately.,In Bellandur 4th Cross apartment supply water is black/brown with sewage mix. Kindly test water quality immediately.,2026-09-10 11:45,Pending
SYN-HYD-4098,Hyderabad,Ward 98 (Jubilee Hills),Hinglish,Water Supply,High,Main pipeline burst ho gayi hai near circle number 3. Clean drinking water road pe waste ho raha hai aur houses mein pressure zero ho chuka hai.,Main pipeline has burst near circle 3. Clean drinking water wasting on road and residential pressure zero.,2026-09-08 07:15,In Progress
SYN-HYD-4099,Hyderabad,Ward 98 (Jubilee Hills),Telugu,Water Supply,High,జూబ్లీ హిల్స్ సర్కిల్ 3 వద్ద ప్రధాన తాగునీటి పైప్‌లైన్ పగిలి రోడ్డుపై నీరు వరదలా ప్రవహిస్తోంది. మా కాలనీలో నీటి సరఫరా పూర్తిగా నిలిచిపోయింది.,Main drinking water pipeline broke at Jubilee Hills Circle 3 flooding road. Colony water supply completely halted.,2026-09-08 09:30,Pending
